[ 00:05:40.998 -->  00:05:45.349] AH SPEAKER_01
[ 00:05:45.349 -->  00:05:49.069] DV SPEAKER_03
[ 00:05:46.424 -->  00:05:46.578] FF SPEAKER_04
[ 00:05:46.578 -->  00:05:48.216] AI SPEAKER_01
[ 00:05:50.008 -->  00:05:51.510] DW SPEAKER_03
[ 00:05:52.534 -->  00:05:59.001] FG SPEAKER_04
[ 00:05:59.001 -->  00:06:07.005] DX SPEAKER_03
[ 00:06:05.145 -->  00:06:05.895] BX SPEAKER_02
[ 00:06:07.005 -->  00:06:12.994] BY SPEAKER_02
[ 00:06:12.994 -->  00:06:19.633] FH SPEAKER_04
[ 00:06:13.319 -->  00:06:13.506] AJ SPEAKER_01
[ 00:06:14.343 -->  00:06:15.162] AK SPEAKER_01
[ 00:06:20.588 -->  00:06:24.001] AL SPEAKER_01
[ 00:06:24.001 -->  00:06:25.281] DY SPEAKER_03
[ 00:06:24.496 -->  00:06:25.008] I SPEAKER_00
[ 00:06:26.117 -->  00:06:35.759] BZ SPEAKER_02
[ 00:06:37.551 -->  00:06:40.844] CA SPEAKER_02
[ 00:06:40.844 -->  00:06:45.196] FI SPEAKER_04
[ 00:06:41.902 -->  00:06:42.039] AM SPEAKER_01
[ 00:06:45.196 -->  00:06:48.506] AN SPEAKER_01
[ 00:06:48.506 -->  00:06:50.008] FJ SPEAKER_04
[ 00:06:50.008 -->  00:06:55.093] CB SPEAKER_02
[ 00:06:56.459 -->  00:07:01.800] AO SPEAKER_01
[ 00:07:03.165 -->  00:07:03.506] AP SPEAKER_01
[ 00:07:03.506 -->  00:07:04.496] DZ SPEAKER_03
[ 00:07:05.110 -->  00:07:22.039] EA SPEAKER_03
[ 00:07:07.892 -->  00:07:08.882] FK SPEAKER_04
[ 00:07:21.186 -->  00:07:27.397] FL SPEAKER_04
[ 00:07:22.994 -->  00:07:23.131] EB SPEAKER_03
[ 00:07:27.414 -->  00:07:29.052] AQ SPEAKER_01
[ 00:07:33.506 -->  00:07:40.008] CC SPEAKER_02
[ 00:07:40.008 -->  00:07:46.561] EC SPEAKER_03
[ 00:07:46.851 -->  00:07:46.988] FM SPEAKER_04
[ 00:07:47.602 -->  00:08:02.653] FN SPEAKER_04
[ 00:07:51.493 -->  00:07:52.346] CD SPEAKER_02
[ 00:07:56.715 -->  00:07:57.005] CE SPEAKER_02
[ 00:07:57.687 -->  00:07:57.824] CF SPEAKER_02
[ 00:08:00.878 -->  00:08:03.506] CG SPEAKER_02
[ 00:08:03.506 -->  00:08:04.496] AR SPEAKER_01
[ 00:08:04.496 -->  00:08:04.786] FO SPEAKER_04
[ 00:08:04.786 -->  00:08:11.578] ED SPEAKER_03
[ 00:08:12.209 -->  00:08:16.817] CH SPEAKER_02
[ 00:08:17.687 -->  00:08:18.643] CI SPEAKER_02
[ 00:08:17.994 -->  00:08:18.506] AS SPEAKER_01
[ 00:08:18.643 -->  00:08:20.998] FP SPEAKER_04
[ 00:08:20.998 -->  00:08:23.506] EE SPEAKER_03
[ 00:08:23.506 -->  00:08:29.667] CJ SPEAKER_02
[ 00:08:32.329 -->  00:08:35.383] CK SPEAKER_02
[ 00:08:35.383 -->  00:08:43.745] FQ SPEAKER_04
[ 00:08:40.759 -->  00:08:41.578] EF SPEAKER_03
[ 00:08:41.493 -->  00:08:41.595] J SPEAKER_00
[ 00:08:41.595 -->  00:08:41.766] CL SPEAKER_02
[ 00:08:43.745 -->  00:08:50.639] CM SPEAKER_02
[ 00:08:53.387 -->  00:08:53.455] CN SPEAKER_02
[ 00:08:53.455 -->  00:08:53.506] EG SPEAKER_03
[ 00:08:55.503 -->  00:08:58.506] EH SPEAKER_03
